Input: 0.4910486748787378

z: -1.5000000000000000, S: 0.7500000000000000, s: 1.0000000000000000
z: 0.7500000000000000, S: 0.6250000000000000, s: -1.0000000000000000
z: -0.1250000000000000, S: 0.6875000000000000, s: 1.0000000000000000
z: 0.7500000000000000, S: 0.6875000000000000, s: 0.0000000000000000
z: -0.2812500000000000, S: 0.7031250000000000, s: 1.0000000000000000
z: -0.5625000000000000, S: 0.7031250000000000, s: 0.0000000000000000
z: 0.6796875000000000, S: 0.6992187500000000, s: -1.0000000000000000
z: -0.4414062500000000, S: 0.7011718750000000, s: 1.0000000000000000
z: -0.8828125000000000, S: 0.7011718750000000, s: 0.0000000000000000
z: 0.0380859375000000, S: 0.7006835937500000, s: -1.0000000000000000
z: 0.0761718750000000, S: 0.7006835937500000, s: 0.0000000000000000
z: 1.1523437500000000, S: 0.7006835937500000, s: 0.0000000000000000
z: 0.5018310546875000, S: 0.7007446289062500, s: 1.0000000000000000
z: 1.0036621093750000, S: 0.7007446289062500, s: 0.0000000000000000
z: 1.0073242187500000, S: 0.7007446289062500, s: 0.0000000000000000
z: -0.7883453369140625, S: 0.7007522583007812, s: 1.0000000000000000
z: 0.2263107299804688, S: 0.7007484436035156, s: -1.0000000000000000
z: 0.4526214599609375, S: 0.7007484436035156, s: 0.0000000000000000
z: 0.9052429199218750, S: 0.7007484436035156, s: 0.0000000000000000
z: 0.8104858398437500, S: 0.7007484436035156, s: 0.0000000000000000
z: -1.1820225715637207, S: 0.7007486820220947, s: 1.0000000000000000
z: -1.3640451431274414, S: 0.7007486820220947, s: 0.0000000000000000
z: 1.0749043226242065, S: 0.7007486224174500, s: -1.0000000000000000
z: 0.3468140959739685, S: 0.7007486522197723, s: 1.0000000000000000
z: 0.6936281919479370, S: 0.7007486522197723, s: 0.0000000000000000
z: 0.3872563838958740, S: 0.7007486522197723, s: 0.0000000000000000
z: 0.7745127677917480, S: 0.7007486522197723, s: 0.0000000000000000
z: -1.2539690770208836, S: 0.7007486540824175, s: 1.0000000000000000
z: -0.7049435395747423, S: 0.7007486531510949, s: -1.0000000000000000
z: -0.4098870791494846, S: 0.7007486531510949, s: 0.0000000000000000
z: 0.1802258417010307, S: 0.7007486531510949, s: 0.0000000000000000
z: -0.6395483165979385, S: 0.7007486531510949, s: 0.0000000000000000
z: -1.2790966331958771, S: 0.7007486531510949, s: 0.0000000000000000
z: 1.2448013461544178, S: 0.7007486531219911, s: -1.0000000000000000
z: 0.6866080797917675, S: 0.7007486531365430, s: 1.0000000000000000
z: 1.3732161595835350, S: 0.7007486531365430, s: 0.0000000000000000
z: -0.0565622933863779, S: 0.7007486531401810, s: 1.0000000000000000
z: 0.8868754132272443, S: 0.7007486531401810, s: 0.0000000000000000
z: -1.0292437861080543, S: 0.7007486531410905, s: 1.0000000000000000
z: -1.0584875722161087, S: 0.7007486531410905, s: 0.0000000000000000
z: -0.3139805318683102, S: 0.7007486531408631, s: -1.0000000000000000
z: 0.3720389362633796, S: 0.7007486531408631, s: 0.0000000000000000
z: 0.7440778725267592, S: 0.7007486531408631, s: 0.0000000000000000
z: 0.4881557450535183, S: 0.7007486531408631, s: 0.0000000000000000
z: 0.9763114901070367, S: 0.7007486531408631, s: 0.0000000000000000
z: 0.9526229802140733, S: 0.7007486531408631, s: 0.0000000000000000
z: -0.8977486521353129, S: 0.7007486531408667, s: 1.0000000000000000
z: -0.7954973042706257, S: 0.7007486531408667, s: 0.0000000000000000
z: 1.2120000040222134, S: 0.7007486531408658, s: -1.0000000000000000
z: -1.3789946045190371, S: 0.7007486531408662, s: 1.0000000000000000
z: 1.0450054035253902, S: 0.7007486531408660, s: -1.0000000000000000
z: 1.0900108070507804, S: 0.7007486531408660, s: 0.0000000000000000
z: 0.3770270015380968, S: 0.7007486531408660, s: 1.0000000000000000
z: -1.0489406094872704, S: 0.7007486531408660, s: 1.0000000000000000
z: -0.2948866064110769, S: 0.7007486531408660, s: -1.0000000000000000
z: 1.2132213997413102, S: 0.7007486531408660, s: -1.0000000000000000
z: -0.3765518130808436, S: 0.7007486531408660, s: 1.0000000000000000
z: -0.7531036261616872, S: 0.7007486531408660, s: 0.0000000000000000
z: 1.2967873602400894, S: 0.7007486531408660, s: -1.0000000000000000
z: -0.2094198920832850, S: 0.7007486531408660, s: 1.0000000000000000
z: 1.3841548283968939, S: 0.7007486531408660, s: -1.0000000000000000

	Expected result: 0.7007486531408661
	Computed result: 0.7007486531408660
	Error:           0.0000000000000001

Tests run    :  1
Tests pased  :  1
